nombres;apellidos;identificacion;celular;direccion;ciudad;correo
Carlos ;Perez;123456;3152305263;Calle 1 # 1-1;Bogota D.C;"Carlos.perez@pagosinteligentes.com
"
sandra;huertas;123456;19876542;crra 1d # 4 -8;Bogota D.C;sandra@gmail.com
Dilan;Vega;564789;98765423;av 3 # 4 -6;Bogota D.C;marina@gmail.com
Santiago;Vanegaz;789654;23456785;cll 34 # 98-56;Medellin;santi@gmail.com
Maria;Lopez;897680;32145678;cll 200 # 54-20;Ibague;maria1@gmail.com
Oscar;Rodriguez;107643;34456789;crra 8 # 89-12;Medellin;oscar@gmail.com
Javier;Gonzales;103245;32134567;av 4 # 54-67;Ibague;javier@gmail.com
Orlando;Hurtado;107657;67898765;av bolevar # 89-3;Barranquilla;orlando@gmail.com
Gonzalo;Villegas;105657;63245675;cll 278 # 67 - 34;Bucaramanga;gonzalo@gmail.com
Susana;Perez;106543;55443322;cll 252 # 76-78;Cartagena;susa@gmail.com
Kike;Florez;108978;76890987;cll 3B # 4-1;Santa Marta;kike@gmail.com
Pedro;Arevalo;109654;12324356;crra 6C # 5-6;Villao;pedro@gmal.com
Pablo;Diaz;102354;22435476;crra 4B #78-9;Pasto;pablo@gmal.com
Rodrigo;Orozco;109856;90768976;av san jose # 4-9;San Andres;rodrigo@gmal.com
Ruben;Salsedo;107865;56789021;av chile # 66-4;Manizales;ruben@gmal.com
Lili;Figueroa;143268;55674321;crra 10 # 89-4;Pareira;lili@gmal.com
Tatiana;Niño;567896;76890976;crra 2 # 4-5;Sucre;tatiana@gmal.com
Bayron;Torres;198765;12345654;crra 45 # 5-6;Huila;bayron@gmal.com
Diana;Moreno;233324;15465789;av chile # 45-6;Ibague;diana@gmal.com
Felipe;Rojas;335678;44658907;crra 4B # 3-2;Ipiales;felipe@gmal.com
Jairo;Rosales;123435;30456578;crra 56 # 56-4;Tunja;jairo@gmal.com
Laura;Ramirez;122334;43567898;crra 57 # 56-7;Tunja;laura@gmal.com
Michel;Castillo;109678;11378906;cll 98 # 89-2;Caratagena;michel@gmal.com
Maicol;Morales;342156;23456789;av rusia # 57-78;Bucaramanga;maicol@gmal.com
Pilar;Mora;109956;67548907;av silvania #44-3;San jose del Guaviare;pilar@gmal.com
Gina;Uribe;133445;14567879;av tigres # 56 -7;Villao;gina@gmal.com
Uriel;Delgadillo;109867;16754896;cll 100D # 4-55 sur;Huila;uriel@gmal.com
Ariel;Cazas;109654;65578987;cll 45 # 56-67;Santa Marta;ariel@gmal.com
Mercedez;suarez;324567;55436798;av san francisco #5-3;Manizales;mercedez@gmal.com
Paola;Dominguez;677821;70986578;crra 1D # 45-7;Pasto;paola@gmal.com
Sidney;Perez;556644;54678966;crr 2A # 56-3;Bogota D.C;sidney@gmal.com
